id, runtime, darcy_flux, porosity, bulk_conductivity, temperature, voltage, length, heating_time, buildup_time, rotate, bool_heat1, bool_heat2, bool_heat3, bool_heat4
#gw405, 5000, 4.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw406, 5000, 5.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw407, 5000, 6.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw408, 5000, 7.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw409, 5000, 8.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw410, 5000, 9.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw411, 5000, 10.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw412, 5000, 11.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw413, 5000, 12.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw414, 5000, 13.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw415, 5000, 14.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw416, 5000, 15.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw417, 5000, 16.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw418, 5000, 17.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw419, 5000, 18.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw420, 5000, 19.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw421, 5000, 20.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
