FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:09:38:12 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

 +    2:10|    11:29| Step 33 Time= 1.493445 Dt= 0.181883 Nodes=10584 Cells=21085 DOF=95005 RMS ERR= 8.083e-4 MAX ERR= 0.002311 TIME ERR(V1 )= 2.622e-4 Lanczos/DInv=(625) MEM(KiB)=266610
 +    2:14|    11:47| Step 34 Time= 1.699407 Dt= 0.205962 Nodes=10589 Cells=21093 DOF=95044 RMS ERR= 8.806e-4 MAX ERR= 0.002613 TIME ERR(V1 )= 0.001420 Lanczos/DInv=(720) MEM(KiB)=266638
 +    2:17|    12:06| Step 35 Time= 1.905369 Dt= 0.205962 Nodes=10600 Cells=21112 DOF=95134 RMS ERR= 9.095e-4 MAX ERR= 0.002484 TIME ERR(V1 )= 0.001287 Lanczos/DInv=(740) MEM(KiB)=266702
 +    2:21|    12:25| Step 36 Time= 2.119077 Dt= 0.213709 Nodes=10614 Cells=21138 DOF=95254 RMS ERR= 8.946e-4 MAX ERR= 0.002525 TIME ERR(V1 )= 0.001161 Lanczos/DInv=(723) MEM(KiB)=266787
 +    2:25|    12:44| Step 37 Time= 2.339009 Dt= 0.219931 Nodes=10623 Cells=21153 DOF=95326 RMS ERR= 9.178e-4 MAX ERR= 0.002476 TIME ERR(V1 )= 9.680e-4 Lanczos/DInv=(731) MEM(KiB)=266838
 +    2:28|    13:02| Step 38 Time= 2.567689 Dt= 0.228680 Nodes=10639 Cells=21182 DOF=95461 RMS ERR= 9.101e-4 MAX ERR= 0.002449 TIME ERR(V1 )= 0.001501 Lanczos/DInv=(651) MEM(KiB)=266934
 +    2:32|    13:22| Step 39 Time= 2.796370 Dt= 0.228680 Nodes=10653 Cells=21207 DOF=95578 RMS ERR= 0.001052 MAX ERR= 0.003018 TIME ERR(V1 )= 0.001676 Lanczos/DInv=(797) MEM(KiB)=267016
 +    2:35|    13:40| Step 40 Time= 3.029838 Dt= 0.233468 Nodes=10678 Cells=21244 DOF=95764 RMS ERR= 0.001164 MAX ERR= 0.003072 TIME ERR(V1 )= 0.001633 Lanczos/DInv=(674) MEM(KiB)=267147
 +    2:39|    13:57| Step 41 Time= 3.263305 Dt= 0.233468 Nodes=10740 Cells=21362 DOF=96304 RMS ERR= 0.001101 MAX ERR= 0.003157 TIME ERR(V1 )= 0.001299 Lanczos/DInv=(653) MEM(KiB)=267529
 +    2:42|    14:15| Step 42 Time= 3.504038 Dt= 0.240733 Nodes=10768 Cells=21412 DOF=96538 RMS ERR= 0.001153 MAX ERR= 0.003148 TIME ERR(V1 )= 0.002007 Lanczos/DInv=(671) MEM(KiB)=267692
 +    2:45|    14:32| Step 43 Time= 3.744771 Dt= 0.240733 Nodes=10808 Cells=21476 DOF=96850 RMS ERR= 0.001198 MAX ERR= 0.002915 TIME ERR(V1 )= 0.001521 Lanczos/DInv=(637) MEM(KiB)=267911
 +    2:49|    14:50| Step 44 Time= 3.985504 Dt= 0.240733 Nodes=10882 Cells=21612 DOF=97480 RMS ERR= 0.001210 MAX ERR= 0.003072 TIME ERR(V1 )= 0.001614 Lanczos/DInv=(691) MEM(KiB)=268353
 +    2:52|    15:08| Step 45 Time= 4.231595 Dt= 0.246091 Nodes=10933 Cells=21702 DOF=97903 RMS ERR= 0.001184 MAX ERR= 0.003013 TIME ERR(V1 )= 0.001896 Lanczos/DInv=(727) MEM(KiB)=268650
 +    2:56|    15:26| Step 46 Time= 4.477686 Dt= 0.246091 Nodes=10995 Cells=21814 DOF=98425 RMS ERR= 0.001151 MAX ERR= 0.002737 TIME ERR(V1 )= 0.001363 Lanczos/DInv=(693) MEM(KiB)=270809
 +    3:00|    15:44| Step 47 Time= 4.729261 Dt= 0.251575 Nodes=11058 Cells=21918 DOF=98926 RMS ERR= 0.001119 MAX ERR= 0.002586 TIME ERR(V1 )= 0.001537 Lanczos/DInv=(709) MEM(KiB)=271162
 +    3:03|    16:03| Step 48 Time= 4.980836 Dt= 0.251575 Nodes=11119 Cells=22030 DOF=99445 RMS ERR= 0.001067 MAX ERR= 0.002438 TIME ERR(V1 )= 0.001222 Lanczos/DInv=(661) MEM(KiB)=271524
 +    3:07|    16:23| Step 49 Time= 5.241748 Dt= 0.260912 Nodes=11155 Cells=22092 DOF=99739 RMS ERR= 0.001106 MAX ERR= 0.002774 TIME ERR(V1 )= 0.001400 Lanczos/DInv=(732) MEM(KiB)=271726
 +    3:11|    16:43| Step 50 Time= 5.502660 Dt= 0.260912 Nodes=11200 Cells=22170 DOF=100108 RMS ERR= 0.001109 MAX ERR= 0.002574 TIME ERR(V1 )= 0.001106 Lanczos/DInv=(727) MEM(KiB)=271986
